Time(s)	ax	ay	az	wx	wy	wz	AngleX	AngleY	AngleZ	T
19.125	-0.4370	-0.0234	-1.1265	61.7676	492.7368	-26.6113	-176.9019	48.2684	66.4618	5.46
19.126	-0.3398	-0.1099	-1.0903	58.5327	494.3237	-25.4517	-176.3086	43.1158	66.4563	5.45
19.155	-0.2437	-0.1045	-1.0562	60.6079	493.8354	-23.6816	-175.7703	37.9523	66.3739	5.46
19.185	-0.1626	-0.0688	-1.1611	62.1338	492.9810	-23.3154	-175.2539	32.8107	66.2091	5.46
19.185	-0.0786	-0.0991	-1.1353	62.8052	492.3706	-22.1558	-174.7650	27.6801	66.0004	5.47
19.185	0.0288	-0.1377	-1.0801	62.9883	492.2485	-20.5078	-174.2596	22.5714	65.7422	5.46
19.185	0.1206	-0.1182	-1.0996	63.5986	491.3940	-20.5688	-173.7433	17.4573	65.4291	5.45
19.186	0.1968	-0.0708	-1.1133	63.6597	490.9058	-19.8364	-173.2159	12.3651	65.0830	5.45
19.186	0.2554	-0.1143	-1.0244	62.9272	490.2344	-17.8833	-172.6996	7.2894	64.6930	5.45
19.186	0.3433	-0.1484	-1.0039	62.3779	490.6006	-17.5781	-172.1448	2.2412	64.2426	5.45
19.192	0.3774	-0.2383	-0.9326	61.5234	489.7461	-16.4795	-171.5405	-2.7960	63.7482	5.46
19.199	0.4463	-0.2104	-0.9204	61.3403	490.5396	-16.4185	-170.8429	-7.8003	63.1879	5.44
19.210	0.4990	-0.1509	-0.9214	61.5234	490.4175	-16.1743	-170.1178	-12.7991	62.5616	5.45
19.215	0.6113	-0.1934	-0.8594	60.1807	491.3330	-16.1133	-169.3597	-17.7594	61.8640	5.44
19.218	0.7227	-0.2095	-0.7666	58.8989	491.2720	-16.7847	-168.5083	-22.7417	61.0785	5.44
19.278	0.7598	-0.1523	-0.7280	57.7393	490.5396	-17.5781	-167.5470	-27.7350	60.1941	5.44
19.311	0.7778	-0.1538	-0.6699	57.9224	490.5396	-15.1978	-166.5198	-32.6953	59.1943	5.44
19.312	0.8003	-0.1528	-0.5635	57.1289	490.4785	-15.2588	-165.3223	-37.6117	58.0133	5.45
19.313	0.9214	-0.2090	-0.3784	56.8237	488.9526	-18.6768	-163.9160	-42.5116	56.6290	5.45
19.313	0.7715	-0.1606	-0.3901	62.7441	486.7554	-18.4326	-162.1582	-47.4335	55.0360	5.45
19.314	0.9307	-0.1997	-0.2451	59.8145	488.8306	-17.8223	-160.0708	-52.2180	53.0914	5.44
19.314	0.9878	-0.2036	-0.1777	59.6313	487.5488	-18.3105	-157.3737	-57.0190	50.6415	5.46
19.321	1.1895	-0.2661	-0.0283	61.8896	486.2671	-17.7002	-153.9185	-61.7212	47.5104	5.46
19.326	0.7310	0.0474	-0.0596	62.9272	484.6802	-18.9819	-149.0845	-66.2805	43.3301	5.46
19.332	0.3330	-0.2007	-0.3672	56.5796	483.8867	-1.1597	141.5094	-70.6696	37.5458	5.46
19.345	0.9038	-0.1250	0.1772	43.5181	492.1875	-17.3340	-151.3367	-74.0918	46.6699	5.46
19.345	0.9175	-0.1646	0.1694	64.2700	484.6802	-17.9443	-142.0752	-78.4753	38.6115	5.45
19.348	0.7393	-0.1245	0.0322	61.5234	487.7930	-12.3291	-126.6833	-82.3425	24.4116	5.46
19.362	0.9019	-0.1182	0.2847	48.9502	491.0278	-12.5732	-97.3004	-85.3033	-4.3890	5.46
19.368	0.9004	-0.1816	0.3701	50.5371	491.7603	-12.4512	-37.5513	-85.9021	-63.6932	5.45
19.372	0.7866	-0.1953	0.3848	49.1943	494.4458	-11.5967	5.8722	-81.9141	-107.0508	5.45
19.398	0.6455	-0.1602	0.5293	51.0864	498.0469	-9.5825	3.3069	-76.8274	-104.2712	5.44
19.419	0.6353	-0.0718	0.5342	50.1099	496.7651	-10.6201	2.8015	-71.6254	-103.4308	5.44
19.422	0.6118	-0.0703	0.5493	47.6685	495.9717	-11.8408	2.7850	-66.4893	-102.9968	5.44
19.422	0.5371	-0.1133	0.6660	46.9360	497.6807	-11.4746	2.8729	-61.3916	-102.6892	5.44
19.423	0.4629	-0.0942	0.7026	49.4995	498.1079	-11.9629	2.9663	-56.2335	-102.4036	5.45
